Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Maakond;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Kaive;Tootajaid
14414739;TAGANURGA TALU OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Harju ( Anija vald );0;0;0;
14414751;MESI24 OÜ;Äriühing;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Rapla ( Rapla vald );;;;1
14414780;123PUKSIIR OÜ;Äriühing;ei;VEONDUS JA LAONDUS;Harju ( Maardu linn );49,5;49,5;;
14414952;BLUEGARANT OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );965,94;1024,98;;1
14415012;LIPA-LAPA OSAÜHING;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Pärnu ( Pärnu linn );3916,82;1425,11;19813,21;2
14415041;MAASIKAPÕLLU OÜ;Äriühing;ei;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Viljandi ( Viljandi vald );893,7;1001,94;;1
14415064;CARNEOLA ADVISORY BOUTIQUE OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );;;0;
14415118;ELLESMERE OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );2901,05;1308;7962;1
14415199;OÜ KNIKS;Äriühing;jah;INFO JA SIDE;Harju ( Kuusalu vald );2558,7;2787,5;;1
14415213;VÄIKE MUST KLEIT OÜ;Äriühing;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );45,09;48,33;;1
14415242;MOMENTUM BRANDS OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";;;;;
14415288;RGB VARAHALDUS OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Harju ( Tallinn );183,53;0;7077,97;
14415325;FUGGER OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );10077,23;0;55174,46;
14415360;WELTRUM OÜ;Äriühing;ei;EHITUS;Lääne-Viru ( Rakvere linn );;;;1
14415399;FORTERESTO OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Harju ( Tallinn );712,66;0;165954,13;
14415443;RITO OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Lääne-Viru ( Rakvere linn );907,56;1016,97;;1
14415453;KIIPER GRUPP OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );13470,7;8964,16;26763,39;2
14415472;SYMPOSIUM OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );3740,26;3882,1;12750;
14415489;RENTOFF OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );4505,79;0;22451,19;
14415503;BALTKOMFORT OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );312,87;0;12593,08;
14415518;DENKA TORUPOOD OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );1092,33;0;14445,01;
14415584;FAZELIS OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Ida-Viru ( Narva linn );11874,68;3342,04;64001,32;5
14415615;KIROFONES OÜ;Äriühing;ei;MUUD TEENINDAVAD TEGEVUSED;Põlva ( Kanepi vald );816,03;917,73;;1
14415621;TERELL OÜ;Äriühing;ei;INFO JA SIDE;Harju ( Kuusalu vald );459,79;486,7;;
14415682;NADEZHDA CHUNTONOVA;FIE;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Ida-Viru ( Narva linn );0;47,25;;1
14415696;NUUSTAKU KINNISVARA OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Valga ( Otepää vald );;;0;1
14415704;AVAMARK OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );3574,3;2997,15;15678,83;2
14415727;TET-KO TALLINN OÜ;Äriühing;jah;EHITUS;Tartu ( Tartu linn );33838,45;18135,24;172666,16;7
14415851;A&J STUUDIO OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Pärnu ( Pärnu linn );8443,44;3036,42;81044,99;3
14415868;HEALTH IT GROUP OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );4862,46;2645,88;11250;1
14415874;DIGITAU OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );;;;1
14415897;RENTWISE OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Pärnu ( Pärnu linn );75,82;0;25282,18;
14415911;JAAR COMPANY OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Tallinn );1711,27;0;11969;
14415976;MRR VEDU OÜ;Äriühing;jah;EHITUS;Järva ( Paide linn );569,61;0;3264;
14416000;OÜ KARUKIRI;Äriühing;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );847,38;899,67;;1
14416023;OÜ KOODIKATEL;Äriühing;ei;INFO JA SIDE;Harju ( Tallinn );2203,83;662,69;12,01;
14416046;ROBERT KALLION OÜ;Äriühing;jah;KUNST, MEELELAHUTUS JA VABA AEG;Harju ( Tallinn );2126,76;0;12835;
14416135;BRAINWIZ OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Harku vald );1615,78;188,17;;
14416164;M PRODUCTIONS OÜ;Äriühing;jah;INFO JA SIDE;Pärnu ( Pärnu linn );3345,85;1001,94;18100;1
14416230;OÜ LNG SHIPMANAGEMENT;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Tallinn );2882,52;2885,16;;4
14416247;TLG STIVIDOR OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Tallinn );567592,95;70393,6;;27
14416282;MARINA VOLODCHENKOVA;FIE;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Ida-Viru ( Narva linn );741,03;25,48;17576,15;1
14416394;KOLAPUUT OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Valga ( Tõrva vald );879,21;253,47;5044,93;3
14416419;JÕHVI PARGI ENERGIA OÜ;Äriühing;jah;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;Ida-Viru ( Jõhvi vald );83,35;0;118069,53;
14416543;NADIYA FLOW OÜ;Äriühing;jah;HARIDUS;Harju ( Tallinn );4936,46;2939,31;15458,55;1
14416557;ALEVITO OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );;;0;
14416566;MAREST LILLED OÜ;Äriühing;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );715,04;759,53;;
14416572;OSAÜHING YLD EHITAJA;Äriühing;jah;EHITUS;Harju ( Jõelähtme vald );4039,74;3452,48;42719,02;8
14416589;THE GLITTER ARMY OÜ;Äriühing;ei;MAJUTUS JA TOITLUSTUS;Harju ( Tallinn );1801,81;1969,45;;1
14416632;EDUKRAFT OSAÜHING;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Ida-Viru ( Jõhvi vald );33171,78;1832,79;0;1
14416655;CARVERTICAL OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );35383,12;12694,78;1627616,97;
14416684;KDKTECHNOLOGY GROUP OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );7004,04;7438,53;94628,86;4
14416690;NB HOLDING OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );42203,77;18010,42;37156;2
14416709;SR-PIPE OÜ;Äriühing;jah;EHITUS;Jõgeva ( Põltsamaa vald );64105,83;13531,24;439983,57;6
14416721;ABL WOOD TRADE OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );2267,32;436,59;8368;
14416750;APTEEGI BEAUTY OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Saue vald );5838,96;6076,91;227537,86;1
14416773;ALLOS OÜ;Äriühing;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";;;;;1
14416786;OÜ POUK;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Tartu ( Tartu linn );43628,22;27973,77;200123,02;16
14416891;GEOUNIVERSITY OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );;;1485,26;
14416905;OÜ LEBELL;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Pärnu ( Pärnu linn );438,89;0;2320,62;
14416951;FLEET OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Kiili vald );132802,1;44469,62;1549520,04;20
14416980;MUSTJALA MAJA OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Saare ( Saaremaa vald );37,16;0;458,72;
14417005;MÕTTEKASV OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );7216,73;1543,4;15983,07;1
