Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Maakond;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Kaive;Tootajaid
10003040;DIMEDIUM GROUP OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Tartu linn );41729,11;24755,69;195453,66;5
10003057;NEOLIFE INTERNATIONAL OSAÜHING;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );136495,54;50769,94;1278796,46;12
10003100;MOTORAL EESTI AS;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );623796,17;186104,28;3957250,68;37
10003181;SVENAI, OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Võru ( Võru linn );14642,63;10313,25;36597,33;6
10003212;FRAUMEL, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Lääne-Viru ( Rakvere linn );13853,95;4992,12;35797,5;3
10003229;BASEILO, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Lääne-Viru ( Rakvere linn );76805,15;21968,08;486952,52;16
10003235;ANTAARES, AS;Äriühing;jah;EHITUS;Lääne-Viru ( Väike-Maarja vald );126315,38;68960,43;1458681,29;36
10003318;DEDEN-INVEST AS;Äriühing;jah;KINNISVARAALANE TEGEVUS;Pärnu ( Tori vald );6526,24;321,42;25819,2;1
10003363;MALVE TK, OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Tartu ( Tartu linn );35056,32;20911,7;192096,06;20
10003376;REINUP REISID, OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Viljandi ( Viljandi linn );8470,92;6022,55;65559,07;7
10003442;ARTESTI, OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Ida-Viru ( Narva-Jõesuu linn );3380,44;2968,12;48758,52;2
10003471;SAVEKATE, OÜ;Äriühing;jah;EHITUS;Tartu ( Tartu linn );377135,8;244203,88;4021839,4;65
10003488;ORDULA, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Põlva ( Kanepi vald );56;0;1291,32;
10003494;BIOMED, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Tartu linn );428,52;266,82;0;
10003502;TÜDRUKUD, OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Harju ( Raasiku vald );190456,97;90561,04;1402687,29;62
10003525;MARKE, OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Järva ( Paide linn );6,11;0;180;
10003583;SKILINE, OÜ;Äriühing;jah;EHITUS;Harju ( Saue vald );2851,02;979,08;10490,4;1
10003592;TRAKMETS, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Rapla ( Kehtna vald );15648,73;8460,26;97995,1;11
10003608;CONSULTING ENGINEER, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Ida-Viru ( Kohtla-Järve linn );;;500;
10003614;BIOCODEX OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );47177,57;49893,93;301811,06;7
10003643;ALMACON, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );151,39;61,38;12776,29;
10003666;HORTICOM OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Rae vald );916017,76;165873,79;6783898,76;55
10003711;SIRVOS, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Pärnu ( Pärnu linn );16737,97;15692,58;159155,54;4
10003755;ITALPAK, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Pärnu ( Pärnu linn );1218,79;1292,19;11490,66;1
10003844;KNJ-TRANSPORT, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );3260,38;1935,2;10278,54;3
10003850;FAABULA, AS;Äriühing;jah;FINANTS- JA KINDLUSTUSTEGEVUS;Harju ( Tallinn );893,98;6155,15;0;3
10003873;BASSEINITEHNIKA OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );241495,79;62894,44;975592,01;10
10003886;ANNINET-V, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );5640,29;5892,58;30279,57;6
10003896;KIRETEC, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Jõgeva ( Põltsamaa vald );37006,64;5293,68;304517,59;2
10003933;MARMOREK OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );;;1674,74;
10003979;JOSIF, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Viljandi ( Viljandi linn );398,01;70,17;20438,99;1
10003991;APEKI INVESTEERINGUD, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Tartu ( Tartu linn );6127,31;0;32786,88;
10004016;LÕUNAPIIM, OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Võru ( Rõuge vald );2222,65;8875,97;152913,12;6
10004068;TARRIKS, AS;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );18704,16;2786,61;300;1
10004128;AKRIIBIA, OÜ;Äriühing;jah;INFO JA SIDE;Saare ( Saaremaa vald );1387,8;805,59;8445,59;1
10004140;SINGULARIS, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Tartu ( Tartu linn );16414,97;10807,17;117573,66;9
10004173;EDITA, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Saare ( Saaremaa vald );2528,28;1003,74;9627,18;1
10004252;SEB PANK, AS;Äriühing;jah;FINANTS- JA KINDLUSTUSTEGEVUS;Harju ( Tallinn );49185216,89;7922378,84;94965775,79;1080
