Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Maakond;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Kaive;Tootajaid
10824676;PINX DISAIN, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );3463,43;2599,7;8241,07;1
10824707;SCANDICON OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Tartu ( Tartu linn );0;45647,94;1234065,34;19
10824723;GREENTECH NORDIC, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );757,18;313,41;2604,55;
10824736;TARMOR EHITUS OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );290,46;268,53;500;
10824794;VIIMSI PEREARSTIKESKUS OÜ;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Harju ( Viimsi vald );70994,21;75997,39;;23
10824825;HELVOLA TEENUSTE OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Võru ( Rõuge vald );0;0;0;1
10824854;MARKLAND TRADE, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );108431,46;113705,68;1886505,96;39
10824877;EUGENIO, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Valga ( Otepää vald );408,4;0;2420;1
10824898;TÕNISMÄE PEREMEDITSIINI KOLLEEGIUM, OÜ;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Harju ( Tallinn );77317,89;79819,75;;14
10824920;VITACON PEREARSTIKESKUS, OÜ;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Harju ( Tallinn );30032,27;31368,46;;9
10824989;VENTEX GRUPP, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Maardu linn );23257,5;10401,73;153658,39;9
10825055;SAURUSED, OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );;;0;
10825078;ROTEH GRUPP OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );8867,66;5309,96;72436,34;3
10825185;VIKK-KO, OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Harju ( Tallinn );948,49;983,13;4000;1
10825196;BESTCOM, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );;;0;
10825210;PARUMO, OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Harju ( Tallinn );694,32;694,32;0;1
10825262;REMOLINO OÜ;Äriühing;ei;HARIDUS;Harju ( Tallinn );1688,2;1501,65;;2
10825285;KARISS KATUSED OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );64291,2;21377,02;141873,95;7
10825322;OÜ BMF;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Lääne-Viru ( Vinni vald );21199,73;12221,25;45000;3
10825368;PK INVEST OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Pärnu ( Põhja-Pärnumaa vald );;;0;
10825374;CATTABRIG, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Viimsi vald );4509,23;2592,24;11459,42;1
10825397;CONNEXION, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Tartu linn );19478,46;5941,86;23376;2
10825405;ADREM KINNISVARA, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );1875,33;0;15664,29;
10825463;PRINTLAND, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Rapla ( Kehtna vald );4818,75;1051,85;31354,53;
10825575;MARKO PRUUL;FIE;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Hiiu ( Hiiumaa vald );;;4875,93;
10825606;ADVOKAADIBÜROO T.M.HIOB OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );3584,61;2131,59;17779,8;2
10825635;KALLE ADRAT;FIE;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Järva ( Järva vald );11186,04;1432,14;113845,16;1
10825670;ALTONA BALTIC OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );1639,97;224,58;8563,38;
10825687;ELJOF ATSERAL, OÜ;Äriühing;ei;HARIDUS;Harju ( Tallinn );248,23;280,13;;
10825693;MUSTAMÄE JA NÕMME PEREARSTIKESKUS OÜ;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Harju ( Tallinn );194571,26;203479,31;;43
10825701;NAMASTE, OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );0;0;0;
10825724;TREKKEN OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Rae vald );0;330,11;38867,89;2
10825730;DREAMLAND, OÜ;Äriühing;ei;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );5959,8;5959,8;;
10825813;KAUR INVESTEERINGUD, OÜ;Äriühing;jah;FINANTS- JA KINDLUSTUSTEGEVUS;Pärnu ( Lääneranna vald );32681,86;6498,6;139670,62;2
10825919;ANVEX PROJECT, OÜ;Äriühing;jah;EHITUS;Ida-Viru ( Alutaguse vald );5881,92;391,67;11318,57;1
10825931;K30, OÜ;Äriühing;jah;KUNST, MEELELAHUTUS JA VABA AEG;Harju ( Tallinn );622,79;0;3718;
10825960;HOLGERSSON, OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Harju ( Viimsi vald );33216,75;16388,81;124467,18;18
10825977;KALAMAJA PEREARSTID OÜ;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Harju ( Tallinn );48566,02;50215,08;;13
10826014;ALOTEK, OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Viimsi vald );428,7;464,78;;1
10826043;KIVIRA OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );;;0;
10826103;MISTRID, OÜ;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Põlva ( Põlva vald );790,2;826,2;;1
10826149;INBOOK, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );;;0;
10826221;HÄRMA EHITUS OÜ;Äriühing;jah;EHITUS;Pärnu ( Pärnu linn );39785,29;43570,6;26591,57;19
10826238;RAETRAVEL, OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Harju ( Tallinn );51,71;0;10692,15;
10826273;ROBERT BOSCH, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Rae vald );234731,33;67515,58;1726781,4;11
10826333;VIANDE MUSIC OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );1254,57;0;38410,29;
10826408;PIRSON, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );3419,23;2312,48;14882,02;2
10826468;JM GROUP OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Tallinn );;;2100;
10826592;DERMILD, OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );5199,13;2891,15;9017,44;
10826637;INNERCITY GROUP OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );1275,82;840,39;6059,97;1
10826741;IGOR BILETSKYI (BILETSKI);FIE;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );;;0;
